,season,playerId,Player,positionCode,gamesPlayed,goals,ot_goals,teamAbbrevs,TOI_Down_One,goals_down_by_one,TOI_Tied,goals_when_tied,clutch_goals,TOI_Clutch,clutch_score,actual_clutch_score_adjusted
0,2015-2016,8448208,Jaromir Jagr,R,79,27,0,FLA,217.61666666667,4.0,494.1,12.0,16.0,711.71666666667,13.488513687562872,26.73
1,2016-2017,8448208,Jaromir Jagr,R,82,16,0,FLA,260.9,5.0,542.43333333333,7.0,12.0,803.33333333333,8.962655601659788,22.99
3,2015-2016,8462038,Shane Doan,R,72,28,0,ARI,237.71666666667,5.0,440.2,12.0,17.0,677.9166666666699,15.046097111247622,27.75
5,2015-2016,8462042,Jarome Iginla,R,82,22,0,COL,245.53333333333,7.0,420.25,8.0,15.0,665.78333333333,13.517911232382975,26.75
6,2016-2017,8462042,Jarome Iginla,R,80,14,1,"COL,LAK",311.21666666667,6.0,425.88333333333,5.0,11.0,737.0999999999999,8.954008954008955,22.98
8,2015-2016,8464989,Matt Cullen,C,82,16,0,PIT,225.8,2.0,384.05,4.0,6.0,609.85,5.903090923997705,19.32
9,2016-2017,8464989,Matt Cullen,C,72,13,0,PIT,166.16666666667,1.0,342.35,3.0,4.0,508.51666666667006,4.719609321228377,17.44
10,2017-2018,8464989,Matt Cullen,C,79,11,0,MIN,137.05,1.0,341.71666666667,4.0,5.0,478.76666666667,6.266100396852981,19.83
14,2015-2016,8466138,Joe Thornton,C,82,19,0,SJS,294.68333333333,2.0,575.61666666667,10.0,12.0,870.3,8.273009307135471,22.27
16,2017-2018,8466138,Joe Thornton,C,47,13,0,SJS,204.36666666667,2.0,292.75,5.0,7.0,497.11666666666997,8.448720957521653,22.46
17,2018-2019,8466138,Joe Thornton,C,73,16,0,SJS,226.66666666667,4.0,346.36666666667,2.0,6.0,573.03333333334,6.282357047292114,19.85
21,2015-2016,8466139,Patrick Marleau,C,82,25,1,SJS,299.33333333333,3.0,571.0,10.0,13.0,870.3333333333301,8.962083492914626,22.99
22,2016-2017,8466139,Patrick Marleau,C,82,27,0,SJS,250.85,3.0,512.8,12.0,15.0,763.65,11.785503830288743,25.48
23,2017-2018,8466139,Patrick Marleau,C,82,27,1,TOR,208.8,5.0,504.88333333333,6.0,11.0,713.68333333333,9.247798977137428,23.27
24,2018-2019,8466139,Patrick Marleau,C,82,16,0,TOR,241.3,5.0,455.43333333333,4.0,9.0,696.7333333333299,7.750454501961572,21.69
25,2019-2020,8466139,Patrick Marleau,C,66,11,1,"SJS,PIT",167.93333333333,2.0,353.08333333333,5.0,7.0,521.0166666666601,8.061162470810377,22.04
27,2015-2016,8466148,Marian Hossa,R,64,13,1,CHI,126.35,2.0,424.33333333333,4.0,6.0,550.68333333333,6.537332405193588,20.2
28,2016-2017,8466148,Marian Hossa,R,73,26,3,CHI,207.0,4.0,465.8,10.0,14.0,672.8,12.485136741973841,26.02
29,2015-2016,8466251,Jason Chimera,L,82,20,0,WSH,166.33333333333,2.0,459.33333333333,6.0,8.0,625.66666666666,7.671816728822671,21.6
30,2016-2017,8466251,Jason Chimera,L,82,20,0,NYI,163.48333333333,4.0,402.16666666667,3.0,7.0,565.65,7.425086184036065,21.31
32,2015-2016,8467329,Vincent Lecavalier,C,49,10,0,"PHI,LAK",131.78333333333,3.0,255.73333333333,3.0,6.0,387.51666666666,9.28992301406407,23.31
36,2015-2016,8467370,Mike Fisher,C,70,13,0,NSH,166.71666666667,2.0,434.58333333333,8.0,10.0,601.3,9.978380176284716,23.96
37,2016-2017,8467370,Mike Fisher,C,72,18,0,NSH,261.23333333333,4.0,438.43333333333,6.0,10.0,699.6666666666599,8.575512148642293,22.59
40,2015-2016,8467389,Brad Richards,C,68,10,0,DET,189.61666666667,1.0,391.61666666667,8.0,9.0,581.23333333334,9.290588977461612,23.31
41,2015-2016,8467407,Brian Gionta,R,79,12,1,BUF,326.96666666667,2.0,546.81666666667,6.0,8.0,873.78333333334,5.49335266179636,18.71
42,2016-2017,8467407,Brian Gionta,R,82,15,0,BUF,287.16666666667,3.0,461.5,3.0,6.0,748.6666666666699,4.808548530721261,17.59
47,2015-2016,8467514,Pavel Datsyuk,C,66,16,1,DET,222.33333333333,3.0,534.56666666667,3.0,6.0,756.9,4.756242568370988,17.5
48,2015-2016,8467875,Daniel Sedin,L,82,28,1,VAN,324.68333333333,4.0,615.85,12.0,16.0,940.53333333333,10.206974766090198,24.17
49,2016-2017,8467875,Daniel Sedin,L,82,15,1,VAN,416.16666666667,5.0,552.13333333333,5.0,10.0,968.3,6.19642672725395,19.74
50,2017-2018,8467875,Daniel Sedin,L,81,23,1,VAN,290.1,8.0,387.23333333333,7.0,15.0,677.3333333333301,13.287401574803212,26.59
51,2015-2016,8467876,Henrik Sedin,C,74,11,0,VAN,301.71666666667,3.0,544.41666666667,2.0,5.0,846.13333333334,3.5455404979514373,15.14
52,2016-2017,8467876,Henrik Sedin,C,82,15,2,VAN,434.16666666667,3.0,553.76666666667,6.0,9.0,987.93333333334,5.465955867467404,18.67
58,2015-2016,8468083,Henrik Zetterberg,C,82,13,0,DET,297.3,3.0,638.76666666667,3.0,6.0,936.06666666667,3.8458799230823875,15.78
59,2016-2017,8468083,Henrik Zetterberg,C,82,17,0,DET,367.93333333333,3.0,607.45,9.0,12.0,975.38333333333,7.381713172598832,21.26
60,2017-2018,8468083,Henrik Zetterberg,C,82,11,0,DET,384.46666666667,3.0,555.56666666667,5.0,8.0,940.03333333334,5.106201907733733,18.09
