Player,Season,Team,Position,GP,TOI,TM #,TOI/GP,TOI%,RAPM_CA/60,RAPM_xGA/60,GAR/60,xGAR/60
A.J. Greer,21-22,N.J,L,9,70.45,23,14.03,27.59,-0.31,-0.009,0.19,0.13
A.J. Greer,22-23,BOS,L,61,543.37,32,13.4,27.66,0.41,0.062,0.32,0.3
A.J. Greer,23-24,CGY,L,59,494.87,33,13.33,26.88,-0.5,-0.064,-0.02,0.06
A.J. Greer,24-25,FLA,L,81,728.33,29,13.22,26.51,2.27,0.099,0.07,0.19
A.J. Greer,25-26,FLA,L,38,417.23,23,13.52,28.22,1.03,0.052,0.28,0.2
Aatu Raty,22-23,NYI,C,12,97.35,23,13.77,27.41,-0.23,-0.035,0.11,0.12
Aatu Raty,24-25,VAN,C,33,341.18,33,14.31,28.41,0.3,0.008,0.12,0.15
Aatu Raty,25-26,VAN,C,31,335.68,31,14.26,29.2,-0.77,-0.088,-0.01,-0.01
Adam Beckman,22-23,MIN,L,9,88.87,24,14.26,28.66,0.13,0.031,0.12,0.1
Adam Beckman,23-24,MIN,L,11,103.13,23,13.01,26.47,-1.05,-0.019,0.12,0.11
Adam Brooks,21-22,VGK,C,7,74.08,25,14.4,28.25,1.27,0.071,0.27,0.24
Adam Brooks,21-22,WPG,C,14,101.28,28,13.01,25.92,-1.35,-0.025,-0.03,0
Adam Edstrom,23-24,NYR,C,11,91.48,20,13.42,26.89,-1.24,-0.064,0.11,0.1
Adam Edstrom,24-25,NYR,C,51,466.87,27,13.74,27.42,-0.51,-0.011,0.02,0.09
Adam Edstrom,25-26,NYR,C,24,227.17,23,13.5,26.64,0.46,0.044,0.25,0.2
Adam Erne,21-22,DET,L,79,961.33,31,14.33,28.38,-1.46,-0.068,0.05,0.02
Adam Erne,22-23,DET,L,61,700.9,30,14.12,28.56,-1.27,-0.031,0.1,0.1
Adam Erne,23-24,EDM,L,24,180.63,26,12.82,25.63,1.21,0.082,0.14,0.2
Adam Erne,25-26,DAL,L,16,155.57,21,13.66,27.51,-1.44,-0.037,0.22,0.13
Adam Fantilli,23-24,CBJ,C,49,641.83,26,14.54,28.94,-0.33,-0.033,0.13,0.14
Adam Fantilli,24-25,CBJ,C,82,1245.02,30,15.49,30.04,0.95,0.038,0.26,0.3
Adam Fantilli,25-26,CBJ,C,38,588.42,25,15.59,30.51,0.91,0.022,0.22,0.29
Adam Gaudette,21-22,CHI,C,8,73.43,24,13.83,27.48,-2.11,-0.065,0.01,0.03
Adam Gaudette,21-22,OTT,C,50,510.53,34,14.42,29.01,-0.83,-0.04,0.01,0.01
Adam Gaudette,24-25,OTT,R,81,719.38,30,13.84,28.17,-0.06,-0.019,0.14,0.06
Adam Gaudette,25-26,S.J,R,33,340.37,25,13.85,28.42,-1.84,-0.06,0.11,0.09
Adam Henrique,21-22,ANA,C,58,847.07,33,15.53,30.51,0.27,-0.013,0.16,0.17
Adam Henrique,22-23,ANA,C,62,789.23,31,15.49,30.92,-1.76,-0.173,-0.04,-0.04
Adam Henrique,23-24,ANA,C,60,734.38,26,14.38,29.78,-0.54,-0.024,0.08,0.08
