,playerId,Player,positionCode,gamesPlayed,goals,assists,ot_goals,time_on_ice_per_game,teamAbbrevs,goals_up_by_one,TOI_Down_One,goals_down_by_one,TOI_Tied,goals_when_tied,TOI,total_goals,shots,ixG,iFF,iSCF,iHDCF,rebounds_created,iCF,SH%,off_zone_starts,on_the_fly_starts,clutch_goals,TOI_Clutch,ot_goals_per_60,assists_per_60,goals_up_by_one_per_60,goals_down_by_one_per_60,goals_when_tied_per_60,shots_per_60,ixG_per_60,iFF_per_60,iSCF_per_60,iHDCF_per_60,iCF_per_60,rebounds_created_per_60,off_zone_starts_per_60,on_the_fly_starts_per_60,clutch_score,clutch_score_rank,predicted_clutch_score,actual_clutch_score_adjusted,predicted_clutch_score_adjusted,lower_bound_log,upper_bound_log,Significantly_Clutch,shap_iSCF_per_60,shap_assists_per_60,shap_rebounds_created_per_60,shap_SH%,season
98,8476881,Tomas Hertl,C,137,56,59,2,1033.03125,VGK,9.0,500.65,10.0,739.6,16.0,2357.85,56.0,336.0,61.61,516.0,481.0,303.0,80.0,645.0,16.67,396.0,1257.0,26.0,1240.25,0.09675468655513002,2.8542632533763355,0.43539608949808506,0.4837734327756501,0.7740374924410401,16.254787341261842,2.98052811933078,24.962709131223544,23.269502116508768,14.658335013102198,31.203386414029428,3.870187462205201,19.15742793791574,60.81032049989921,12.58,39.0,2.8209401102121543,26.09,28.21,20.6,29.68,Inside Range,0.24644892220602027,0.044074492747207705,0.13388760249213455,0.16741490523728053,2024-2026
410,8482740,Wyatt Johnston,C,145,67,71,1,1169.52035,DAL,10.0,475.31666666667,8.0,1007.4333333333,24.0,2815.5833333333,67.0,367.0,62.6,526.0,512.0,266.0,82.0,696.0,18.26,356.0,1456.0,32.0,1482.74999999997,0.04046535154274235,2.8730399595347067,0.40465351542742345,0.3237228123419388,0.9711684370258162,14.850784016186442,2.533131006575671,21.284774911482476,20.718259989884082,10.763783510369464,28.163884673748672,3.318158826504872,14.405665149216274,58.917551846232854,12.95,33.0,2.786014991104473,26.35,27.86,21.47,30.07,Inside Range,0.19387988097317782,0.04917083394307381,0.09681046395996301,0.21703962469874605,2024-2026
171,8478010,Brayden Point,C,121,58,64,2,1131.1266,TBL,13.0,476.11666666667,4.0,731.08333333333,21.0,2320.35,58.0,285.0,45.48,413.0,394.0,194.0,51.0,530.0,20.35,425.0,1217.0,25.0,1207.2,0.09940357852882703,3.180914512922465,0.6461232604373758,0.19880715705765406,1.0437375745526838,14.165009940357852,2.2604373757455267,20.526838966202785,19.582504970178928,9.642147117296222,26.341948310139166,2.5347912524850895,21.123260437375745,60.48707753479125,12.43,42.0,2.7858031749795718,25.97,27.86,19.46,28.54,Inside Range,0.20457698544141456,0.07819581810559523,0.02383574985408582,0.2500804340489632,2024-2026
55,8475786,Zach Hyman,L,118,54,33,2,1172.5452,EDM,5.0,468.06666666667,11.0,729.23333333333,15.0,2287.5,54.0,344.0,66.69,509.0,480.0,334.0,85.0,610.0,15.7,343.0,1230.0,26.0,1197.3000000000002,0.10022550739163115,1.653720871961914,0.2505637684790779,0.5512402906539713,0.7516913054372336,17.23878727136056,3.342019543973941,25.50739163117013,24.054121773991476,16.737659734402403,30.5687797544475,4.259584064144325,17.18867451766474,61.63868704585316,13.03,32.0,2.765992505303873,26.41,27.66,20.42,29.47,Inside Range,0.2759264612265174,-0.08914701066501604,0.17026236613738532,0.17983650107547722,2024-2026
28,8475166,John Tavares,C,140,60,66,2,1083.93585,TOR,10.0,463.18333333333,12.0,843.98333333333,19.0,2530.7833333333,60.0,357.0,58.1,515.0,475.0,259.0,67.0,641.0,16.81,342.0,1519.0,31.0,1307.1666666666601,0.0918016065281147,3.029453015427785,0.4590080326405735,0.5508096391686882,0.8721152620170897,16.386586765268476,2.666836669641732,23.638913680989535,21.80288155042724,11.888308045390854,29.42241489226076,3.0753538186918425,15.698074716307614,69.7233201581031,14.23,18.0,2.7627563360514733,27.23,27.63,20.85,29.75,Inside Range,0.24890859230775503,0.06485454017446013,0.07036389009674304,0.1495151259430041,2024-2026
119,8477404,Jake Guentzel,C,142,68,79,2,1210.6763999999998,TBL,15.0,530.93333333333,10.0,932.56666666667,20.0,2880.2,68.0,386.0,64.9,543.0,468.0,282.0,86.0,653.0,17.62,426.0,1445.0,30.0,1463.5,0.08199521694567817,3.2388110693542878,0.6149641270925863,0.40997608472839087,0.8199521694567817,15.825076870515884,2.6607447898872567,22.261701400751623,19.18688076528869,11.561325589340623,26.77143833276392,3.525794328664161,17.46498120942945,59.24154424325248,12.3,46.0,2.741254495339718,25.88,27.41,20.59,29.48,Inside Range,0.11902526252538365,0.08223280850177256,0.11191229896896115,0.1989699378140889,2024-2026
227,8479314,Matthew Tkachuk,L,69,30,46,0,1108.5599000000002,FLA,8.0,242.08333333333,4.0,411.83333333333,8.0,1266.2833333333,30.0,209.0,32.61,317.0,216.0,116.0,58.0,423.0,14.35,192.0,716.0,12.0,653.91666666666,0.0,4.220721294762372,0.73403848604563,0.367019243022815,0.73403848604563,19.17675544794208,2.992124378743499,29.086275009558086,19.81903912323201,10.643558047661635,38.81228494966269,5.321779023830818,17.61692366509512,65.69644450108389,11.01,78.0,2.7234417705030407,24.86,27.23,20.76,30.46,Inside Range,0.04527934894784502,0.14961528996953183,0.21240622019153743,0.08702672386461596,2024-2026
248,8479542,Brandon Hagel,L,139,65,84,0,1213.22855,TBL,12.0,510.05,8.0,943.25,22.0,2843.2833333333,65.0,399.0,58.85,583.0,476.0,205.0,88.0,812.0,16.29,354.0,1340.0,30.0,1453.3,0.0,3.46796944884057,0.4954242069772242,0.33028280465148285,0.9082777127915778,16.472854881992706,2.4296428817174704,24.069359388976814,19.651826876763227,8.463496869194248,33.52370467212551,3.633110851166311,14.615014105828116,55.32236977912338,12.39,44.0,2.721150701391271,25.95,27.21,20.63,30.37,Inside Range,0.1298426191296917,0.10099783926389205,0.11548831384688585,0.1457077416212902,2024-2026
152,8477933,Sam Reinhart,C,142,67,73,0,1255.2997500000001,FLA,12.0,548.78333333333,12.0,1019.3166666667,24.0,2964.15,67.0,376.0,64.28,606.0,508.0,255.0,78.0,786.0,17.82,398.0,1377.0,36.0,1568.10000000003,0.0,2.793189209871766,0.45915439066385194,0.45915439066385194,0.9183087813277039,14.386837574134029,2.4595370193227004,23.187296728524526,19.4375358714364,9.757030801606854,30.074612588482307,2.984503539315038,15.228620623684423,52.68796632867701,13.77,24.0,2.7173787291433866,26.93,27.17,21.44,29.92,Inside Range,0.173315193914872,0.0466694906100909,0.0689024065242062,0.19937745056470613,2024-2026
153,8477934,Leon Draisaitl,C,132,86,112,7,1303.37355,EDM,12.0,578.96666666667,17.0,980.33333333333,30.0,2865.3666666667,86.0,415.0,55.53,620.0,402.0,146.0,73.0,771.0,20.72,422.0,1311.0,47.0,1559.3,0.26935163214262814,4.30962611428205,0.4617456551016482,0.6541396780606682,1.1543641377541205,15.968703905598666,2.1367280189828772,23.85685884691849,15.468479445905215,5.617905470403386,29.667158340280896,2.808952735201693,16.238055537741296,50.44571281985506,18.09,2.0,2.6967989178549967,29.49,26.97,20.53,30.01,Inside Range,-0.016389011482890598,0.16280933620789645,0.05258613570144566,0.26867826989903054,2024-2026
1,8471214,Alex Ovechkin,L,130,68,55,1,1064.6307499999998,WSH,14.0,473.31666666667,9.0,702.53333333333,14.0,2306.7,68.0,421.0,52.98,655.0,389.0,145.0,68.0,928.0,16.15,494.0,1325.0,23.0,1175.85,0.051026916698558494,2.8064804184207173,0.714376833779819,0.4592422502870264,0.714376833779819,21.482331930093128,2.703406046689629,33.42263043755582,19.849470595739252,7.398902921290981,47.352978696262284,3.4698303355019773,25.207296849087896,67.61066462559,11.74,58.0,2.6944614542182963,25.45,26.94,21.11,30.84,Inside Range,0.1583556637380768,0.04770632894990812,0.1072087768531429,0.15207649714765825,2024-2026
271,8480027,Jason Robertson,L,145,69,85,2,1132.5270500000001,DAL,12.0,473.21666666667,11.0,980.0,26.0,2716.3833333333,69.0,434.0,55.12,611.0,470.0,184.0,84.0,820.0,15.9,330.0,1480.0,37.0,1453.2166666666699,0.08257543610152172,3.5094560343146735,0.49545261660913037,0.4541648985583695,1.0734806693197825,17.918869634030216,2.2757790189579388,25.22679572901489,19.405227483857605,7.596940121339999,33.855928801623904,3.4681683162639128,13.624946956751085,61.10582271512608,15.28,12.0,2.6942381592088394,27.9,26.94,21.44,31.15,Inside Range,0.13142601721127073,0.10604292350901706,0.10183077457313333,0.12582425638590733,2024-2026
145,8477511,Anthony Mantha,R,76,27,27,0,866.98955,PIT,3.0,169.33333333333,5.0,390.36666666667,9.0,1139.9333333333,28.0,133.0,17.53,193.0,151.0,81.0,26.0,256.0,21.05,133.0,786.0,14.0,559.7,0.0,2.8944077184205823,0.3216008576022869,0.5360014293371449,0.9648025728068608,14.257638020368052,1.8792210112560301,20.68965517241379,16.187243165981776,8.683223155261746,27.443273182061816,2.7872074325531533,14.257638020368052,84.25942469179917,15.01,13.0,2.6927824477219895,27.73,26.93,18.86,27.0,Outside Range,0.04063261378325331,0.05792872599832971,0.05921417514488464,0.3058927452660084,2024-2026
367,8482093,Seth Jarvis,C,128,59,60,2,1151.55985,CAR,11.0,414.86666666667,8.0,799.66666666667,23.0,2480.35,60.0,383.0,56.98,566.0,446.0,215.0,49.0,679.0,15.67,369.0,1128.0,31.0,1214.5333333333401,0.09880338127126961,2.9641014381380884,0.5434185969919829,0.39521352508507845,1.1362388846196005,18.920847513448134,2.8149083324184714,27.961356899769303,22.033154023493125,10.621363486661485,33.54374794159603,2.4206828411461054,18.229223844549242,55.725107036996064,15.31,11.0,2.6919930165002577,27.92,26.92,19.74,29.43,Inside Range,0.31501494460847784,0.06529873744914,0.0013057262715697182,0.081259420641561,2024-2026
